Nigeria;America;accede_to
DPR;Putin;have_respect_for
DPR;Ukraine;have_respect_for
Yanukovich;Ukraine;have_to_leave
Yanukovich;King;have_to_leave
Yanukovich;CIA;have_to_leave
Yanukovich;PACE;have_to_leave
Yanukovich;Kazakhstan;have_to_leave
Yanukovich;Russia;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Yanukovich;Ukraine;have_to_leave
Oettinger;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
Oettinger;Ukraine;help_to_solve
Ukraine;Donetsk;hold_in
OSCE;Belgrade;hold_in
Russian Federation;Vienna;hold_in
Macedonia;Moscow;hold_talk_in
Hague;London;host
Hague;Syria;host
Brussels;Ukraine;ignore
Department of Commerce;Putin;impose_restriction_on
Canada;Russia;impose_sanction_against
Canada;Ukraine;impose_sanction_against
United States;Russia;impose_sanction_against
United States;CIA;impose_sanction_on
United States;Russia;impose_sanction_on
White House;Russia;impose_sanction_on
Canada;Russia;impose_sanction_on
United States;Russia;impose_sanction_on
Japan;Russia;impose_sanction_on
United States;Putin;include
United States;Russia;include
Sudan;China;include
United States;Putin;include
United States;Russia;include
OSCE;Russia;include
Europe;Australia;include
Moscow;Ukraine;interest_in
Vienna;Kiev;justify
Washington;Iran;keep_pressure_on
Washington;Iran;keep_pressure_on
Kiev;Yanukovich;lead_to
Putin;Crimea;leave_for
Europe;Russia;make
Russia;Ukraine;make
Rompuy;Europe;make_remark_during
Rompuy;Europe;make_remark_during
India;Russia;meet
China Sea;Dempsey;meet
China Sea;Martin;meet
China;Zeguang;meet_with
Kiev;CIA;meet_with
Rompuy;Burkhalter;meet_with
Hagel;Estonia;meet_with
Washington;Chemezov;move_against
Moscow;Crimea;move_in_on
Moscow;Russia;move_in_on
Soviet Union;Austria;occupy
Kiev;Ukraine;offer
Russia;China;offer
Oettinger;Berlin;offer
Oettinger;Germany;offer
Putin;Washington;offer
Steinmeier;King;offer
