UN;include
include;Putin
Ward;include
include;Russia
Brussels;include
include;Russia
Europe;include
include;Russia
Moscow;include
include;Russia
Russia;include
include;Russia
EU;include
include;Russia
SS;include
include;Russia
UN;include
include;Russia
Iran;include
include;GE
Sudan;include
include;China
Sudan;include
include;China
Sudan;include
include;EU
UN;include
include;Putin
Europe;include
include;Russia
OSCE;include
include;Russia
EU;include
include;Russia
OSCE;include
include;Russia
OSCE;include
include;SS
Europe;include
include;Australia
