"Url","Source","Title","Published"
"http://en.itar-tass.com/world/729796?utm_medium=rss20","TASS","Ukrainian Interior Ministry opens criminal case over clash in Kharkiv","Mon- 28 Apr 2014 12-43-42 +0400"
"http://en.itar-tass.com/russia/729781?utm_medium=rss20","TASS","Lavrov praises South Africaâ€™s constructive position on Ukraine crisis","Mon- 28 Apr 2014 10-32-35 +0400"
"http://en.itar-tass.com/world/729759?utm_medium=rss20","TASS","German politician says dispatching of Germany military observers to Ukraine silly action","Mon- 28 Apr 2014 07-58-51 +0400"
"http://en.itar-tass.com/economy/729769?utm_medium=rss20","TASS","RF govt to review implementation of state programmes","Mon- 28 Apr 2014 04-56-04 +0400"
"http://en.itar-tass.com/russia/729767?utm_medium=rss20","TASS","Putin to meet lawmakers in Petrozavodsk to discuss integration of Crimea and Sevastopol","Mon- 28 Apr 2014 03-27-08 +0400"
"http://en.itar-tass.com/world/729762?utm_medium=rss20","TASS","US planning new sanctions against Russia says White House aide","Mon- 28 Apr 2014 00-42-23 +0400"
"http://en.itar-tass.com/world/729750?utm_medium=rss20","TASS","Neo-Nazis holding action in Lvov to commemorate Ukrainian SS division","Sun- 27 Apr 2014 22-37-35 +0400"
"http://en.itar-tass.com/world/729754?utm_medium=rss20","TASS","Presidential candidate Poroshenko pledges Ukraine will stop buying Russian gas from 2015","Sun- 27 Apr 2014 21-49-54 +0400"
"http://en.itar-tass.com/world/729749?utm_medium=rss20","TASS","Leader of Bulgarian Socialist Party there are no grounds for sanctions against Russia","Sun- 27 Apr 2014 21-23-59 +0400"
"http://en.itar-tass.com/russia/729748?utm_medium=rss20","TASS","Crimean authorities begin to de-mothball water well in northeastern areas","Sun- 27 Apr 2014 20-57-29 +0400"
"http://en.itar-tass.com/world/729747?utm_medium=rss20","TASS","OSCE refutes Ukrainian foreign ministerâ€™s allegations about secr-genâ€™s visit to Kiev","Sun- 27 Apr 2014 19-50-02 +0400"
"http://en.itar-tass.com/russia/729744?utm_medium=rss20","TASS","Bomb threat call at Mosfilm film studio proves to be hoax","Sun- 27 Apr 2014 19-17-33 +0400"
"http://en.itar-tass.com/world/729743?utm_medium=rss20","TASS","Kiev city authorities cancel Victory Day parade in Kiev on May 9","Sun- 27 Apr 2014 19-11-02 +0400"
"http://en.itar-tass.com/world/729742?utm_medium=rss20","TASS","OSCE secretary general to arrive in Kiev late on Sunday","Sun- 27 Apr 2014 18-48-57 +0400"
