"Source","Title","Published","Url"
"RT","Republican senators introduce bill containing harsher sanctions against Russia","2014-04-30T21:09:29.0","http://rt.com/usa/156008-senate-republicans-russia-sanctions/"
"RT","US economy grows at snail’s pace in first quarter, expands 0.1%","2014-04-30T19:05:41.0","http://rt.com/business/155968-us-economy-grow-snail/"
"RT","No longer #1? China may replace US as biggest economy this year – World Bank","2014-04-30T17:04:44.0","http://rt.com/business/155892-china-overtake-us-economy/"
"RT","Who's really 'presenting lies as facts'? How State Dept. exposes itself to propaganda","2014-04-30T17:00:15.0","http://rt.com/op-edge/155960-presenting-lies-facts-propaganda-exposure/"
"RT","US-Russia relations need a return to reason","2014-04-30T15:44:34.0","http://rt.com/op-edge/155916-america-russia-tensions-over-ukraine/"
"RT","Mission uncertain: Canadian planes leave for Eastern Europe to assist NATO","2014-04-30T15:10:59.0","http://rt.com/news/155924-nato-mission-eastern-europe/"
"RT","Sanctions: The sanctimonious solution","2014-04-30T15:05:38.0","http://rt.com/op-edge/155912-us-sanctions-against-russia/"
"RT","State Guard, police to take part in Kiev night drill – mayor","2014-04-30T14:20:18.0","http://rt.com/news/155908-ukraine-drills-kiev-military/"
"RT","Kerry rebuked EU for inciting Ukraine ‘tug of war’– report","2014-04-30T14:02:47.0","http://rt.com/news/155896-kerry-blames-eu-ukraine/"
"RT","Fair Russia leader seeks to oust MP for opposing Crimea accession","2014-04-30T13:13:32.0","http://rt.com/politics/155836-mironov-ponomaryov-russia-crimea/"
"RT","Iraq’s first election since US pullout marked by death over political optimism","2014-04-30T12:47:22.0","http://rt.com/news/155824-iraq-election-violence-us/"
"RT","Trans-Atlantic global leadership at stake in Ukraine – Kerry","2014-04-30T09:07:06.0","http://rt.com/news/155780-kerry-nato-russia-challente/"
"RT","Kiev did nothing to fulfill Geneva agreements – Russia’s UN envoy","2014-04-30T07:16:23.0","http://rt.com/news/155772-ukraine-geneva-agreements-churkin/"
"RT","?Reform bill would require Voice of America to trumpet US policy objectives – report","2014-04-30T05:27:06.0","http://rt.com/usa/155760-voice-america-reform-support/"
"RT","Moscow will not bargain with Kiev over Crimea's water supply – Russian resources minister","2014-04-29T22:25:54.0","http://rt.com/news/155724-crimea-water-supply-ukraine/"
"XINHUA","Ukraine orders troops to full readiness amid tension with Russia","2014-04-30T02:00:00.0","http://news.xinhuanet.com/english/world/2014-04/30/c_133301821.htm"
"XINHUA","Detained OSCE observers in Ukraine might be released soon: report","2014-04-30T02:00:00.0","http://news.xinhuanet.com/english/world/2014-04/30/c_133301535.htm"
"XINHUA","<a href='http://news.xinhuanet.com/english/world/2014-04/30/c_133299471.htm' target='_blank'>Putin declines tit-for-tat sanctions against West</a>","2014-04-30T02:00:00.0","http://news.xinhuanet.com/english/world/2014-04/30/c_133299471.htm"
"XINHUA","<a href='http://news.xinhuanet.com/english/world/2014-04/30/c_133299523.htm' target='_blank'>U.S. steps up consultations on Ukraine with Eastern European allies</a>","2014-04-30T02:00:00.0","http://news.xinhuanet.com/english/world/2014-04/30/c_133299523.htm"
"XINHUA","<a href='http://news.xinhuanet.com/english/photo/2014-04/29/c_133298879.htm' target='_blank'>Activists stage protest near U.S. Embassy in Manila</a>","2014-04-29T02:00:00.0","http://news.xinhuanet.com/english/photo/2014-04/29/c_133298879.htm"
"XINHUA","Russia calls recent Western military activity unprecedented","2014-04-29T02:00:00.0","http://news.xinhuanet.com/english/world/2014-04/29/c_133299297.htm"
"XINHUA","EU imposes sanctions on 15 Russian officials, Ukrainians","2014-04-29T02:00:00.0","http://news.xinhuanet.com/english/world/2014-04/29/c_133298926.htm"
"CNN","Who'll blink first, Putin or West?","2014-04-29T10:09:02.0","http://edition.cnn.com/2014/04/28/opinion/ukraine-putin-west-chess/index.html?eref=edition"
"CNN","Pro-Russians build defences","2014-04-30T21:01:29.0","http://edition.cnn.com/2014/04/30/world/europe/ukraine-crisis/index.html?eref=edition"
"CNN","Bodies surface in Ukraine river","2014-04-30T02:44:30.0","http://edition.cnn.com/video/data/2.0/video/world/2014/04/29/dnt-paton-walsh-ukraine-river-bodies.cnn.html?eref=edition"
"CNN","Obama plays soccer with robot","2014-04-25T13:43:41.0","http://edition.cnn.com/video/data/2.0/video/politics/2014/04/24/vo-obama-japan-meets-robot.cnn.html?eref=edition"
