Nigeria;accede_to
accede_to;America
Nigeria;accede_to
accede_to;America
Crimea;accede_to
accede_to;Russia
Crimea;accede_to
accede_to;Russia
Crimea;accede_to
accede_to;Russia
Crimea;accede_to
accede_to;Russia
Crimea;accede_to
accede_to;Russia
Crimea;accede_to
accede_to;Russia
Russia;accuse
accuse;Moscow
Russia;accuse
accuse;Moscow
Europe;accuse
accuse;Moscow
Europe;accuse
accuse;Moscow
Kerry;accuse
accuse;Russia
Kerry;accuse
accuse;Russia
Yatsenyuk;accuse
accuse;Russia
Yatsenyuk;accuse
accuse;Russia
Yanukovich;accuse
accuse;Brennan
Yanukovich;accuse
accuse;Brennan
Philippines;accuse
accuse;Beijing
Philippines;accuse
accuse;Beijing
Turchinov;accuse
accuse;Russia
Turchinov;accuse
accuse;Russia
Martin;accuse
accuse;Russia
Martin;accuse
accuse;Russia
Washington;accuse
accuse;Moscow
Washington;accuse
accuse;Moscow
Washington;accuse
accuse;Russia
Washington;accuse
accuse;Russia
Turchinov;accuse
accuse;Russia
Turchinov;accuse
accuse;Russia
Yanukovich;accuse
accuse;Brennan
Yanukovich;accuse
accuse;Brennan
Europe;adopt_document_on
adopt_document_on;Finland
Europe;adopt_document_on
adopt_document_on;Finland
Europe;adopt_document_on
adopt_document_on;Russia
Europe;adopt_document_on
adopt_document_on;Ukraine
Fattah;affect
affect;Fattah
Morsi;affect
affect;Fattah
Ukraine;aim_at
aim_at;Putin
Ukraine;aim_at
aim_at;Russia
Ukraine;aim_at
aim_at;Putin
Peskov;alter
alter;Putin
Peskov;alter
alter;Putin
Russia;annex
annex;Crimea
Russia;annex
annex;Crimea
Moscow;annex
annex;Crimea
Moscow;annex
annex;Crimea
Moscow;annex
annex;Ukraine
Shoigu;announce
announce;Moscow
Shoigu;announce
announce;Moscow
Harper;announce_sanction_against
announce_sanction_against;Russia
Harper;announce_sanction_against
announce_sanction_against;Russia
Japan;announce_sanction_against
announce_sanction_against;Israel
Japan;announce_sanction_against
announce_sanction_against;Israel
Japan;announce_sanction_against
announce_sanction_against;Russia
Japan;announce_sanction_against
announce_sanction_against;Russia
Japan;announce_sanction_against
announce_sanction_against;Russia
Europe;announce_sanction_against
announce_sanction_against;Russia
Europe;announce_sanction_against
announce_sanction_against;Russia
Europe;announce_sanction_on
announce_sanction_on;Russia
Europe;announce_sanction_on
announce_sanction_on;Russia
Russia;appeal_to
appeal_to;Lavrov
Russia;appeal_to
appeal_to;Lavrov
Kiev;approach
approach;Crimea
Kiev;approach
approach;Crimea
Putin;approve
approve;Burkhalter
Putin;approve
approve;Burkhalter
Russia;approve
approve;Burkhalter
Putin;arrive_in
arrive_in;Sevastopol
Russia;arrive_in
arrive_in;Sevastopol
Putin;arrive_in
arrive_in;Sevastopol
Europe;arrive_in
arrive_in;Ukraine
Europe;arrive_in
arrive_in;Ukraine
Obama;arrive_in
arrive_in;Philippines
Philippines;arrive_in
arrive_in;Philippines
Lee;arrive_in
arrive_in;China
Lee;arrive_in
arrive_in;China
Russia;arrive_in
arrive_in;China
Crimea;ask
ask;Medvedev
Crimea;ask
ask;Medvedev
Libya;attack
attack;America
Libya;attack
attack;America
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Russia;attend
attend;Russia
Donbas;back
back;Yanukovich
Donbas;back
back;Yanukovich
Russia;back
back;Yanukovich
Russia;back
back;Yanukovich
Donbas;back
back;Yanukovich
Donbas;back
back;Yanukovich
Russia;back
back;Yanukovich
Russia;back
back;Yanukovich
Donbas;back
back;Yanukovich
Donbas;back
back;Yanukovich
Ukraine;back
back;Yanukovich
Ukraine;back
back;Yanukovich
Obama;be
be;Obama
Lenin;be
be;Lenin
Ukraine;be
be;Ukraine
Russia;be
be;Russia
Asia;be
be;Europe
Asia;be
be;Europe
Lebanon;be
be;Lebanon
Ottawa;be
be;Ottawa
Washington;be
be;Ottawa
Russia;be
be;Crimea
Russia;be
be;Crimea
Moscow;be
be;Moscow
Asia;be
be;Philippines
Asia;be
be;Philippines
Lenin;be
be;Lenin
Ukraine;be
be;Ukraine
Europe;be
be;Vienna
Europe;be
be;Vienna
Kernes;be
be;Kernes
Lenin;be
be;Lenin
Ukraine;be
be;Ukraine
Lenin;be
be;Lenin
Ukraine;be
be;Ukraine
Lenin;be
be;Lenin
Ukraine;be
be;Ukraine
Obama;be
be;Obama
America;be
be;America
Sechin;be
be;Sechin
Odessa;be
be;Odessa
Libya;be
be;Libya
Georgia;be
be;Georgia
Russia;be
be;Russia
Russia;be
be;Odessa
Russia;be
be;Odessa
Rice;be
be;Rice
Russia;be
be;Russia
Russia;be
be;Russia
Crimea;be
be;Crimea
