the_first_time;moscow_moscow_
obama_u.s._president_barack_obama_assured_ally_japan_on_thursday_that_washington_was_committed_to_its_defense_including_of_tiny_isles_at_the_heart_of_a_row_with_china_;south_korea
the_german_government_report;germany
