herat;abdullah_abdullah_abdullah
india;russia_russia_that_has_grabbed_the_largest_chunk_with_the_nuclear_civilian_agreement_signed_in_2009_for_the_transfer_of_latest_reactor_technologies
a_temporary_legislative_body;valery_bolotov
