Oettinger_EU_Energy_Commissioner_Guenther_Oettinger,Ukraine_Ukraine
_Vojany-Uzhgorod_pipeline,Ukraine
Ukraine,_Ukraine
the_European_Union,Kiev
RWE_AG,gas_reverse-flow_gas_supplies_from_Slovakia_to_Ukraine_by_the_trunk_pipeline
Naftogaz_Naftogaz_of_Ukraine,May_2012
RWE_supplies,the_European_pricing_principles
agreement,the_delivery_of_up_to_10_10_billion_billion_cubic_metres_of_natural_gas
2013,1_billion_cubic_meters_of_gas
Poland,4_million_cubic_metres
transportation_restrictions,the_Ukrainian_border
Ukraine,_Ukraine
European_Union,Ukraine_Ukraine
140_million_cubic_metres,Poland
The_gas,the_Ukrainian_border
gas,the_the_Ukrainian_border_with_Poland
Last_year_Naftogaz_Ukrainy,55_million_cubic_metres_of_gas
capacity_of_the_Ukrainian_gas_transportation,288_billion_cubic_metres_system
gas_transportation_system,72_compressor_stations
company,38_600_kilometres
Rights_Watch,the_detention_of_Oleg_Sidyakin
Kiev,them
them,clear
any,them
them,they
they,a_lawyer_and_consular_services
LifeNews_journalists,April_18
they,camera
The_publication,an_international_scandal
The_two,the_Ukrainian_authorities
Russian_authorities,their_Russian_authorities
six_APCs,the_the_eastern_city_of_Kramatorsk
city,it
a_member_of_the_defense_forces,RIA_Novosti
several_people,top_of_each_combat_vehicle
top_of_each_combat_vehicle,the_city
forces,Tass
Right_Sector_militants,them
shots,the_city_center
a_civil_defense_siren,the_the_eastern_city_of_Kramatorsk_city
Several_defense_checkpoints,Kiev_'s_army
the_suburbs,fire
One_resident,a_bus_stop
Kiev_,the_the_eastern_city_of_Kramatorsk_city
The_public_transport_stop,40_meters
the_shell,it
A_resident_of_Kramatorsk,_Kramatorsk
Water_and_gas_lines,water
defense_coordinator_Maksim_Vlasov,RIA_Novosti_RIA_Novosti
Some,gas
A_resident,RT
RT,the_Kiev_'s_military_and_self-defense_forces_who_stopped_the_APC_convoy_from_entering_the_city_Kiev_the_Kiev_military
the_Kiev_'s_military_and_self-defense_forces_who_stopped_the_APC_convoy_from_entering_the_city_Kiev_the_Kiev_military,multiple_launch_rockets_or_howitzers
I,the_Kiev_'s_army_army
my_I,such_shots
They,louder_and_louder
A_checkpoint,the_house
Fifteen_people,my_his_window
heavy_18,the_eastern_city_of_Slavyansk
We,the_more_sanctions
the_Russian_minister,the_EU
foreign_ministers,a_meeting
situation,it
disarm_the_escalating_situation_in_Ukraine,a_direct_dialog
colleagues,a_sided_the_European_Union_of_pursuing_a_feckless_irresponsible_policy_towards_Russia_after_Brussels_piled_more_sanctions_on_Moscow
policy,the_European_Union
Ryabkov,reporters_Russia_s_Deputy_Foreign_Minister_Sergei_Ryabkov
the_EU_the_European_Union_of_pursuing_a_feckless_irresponsible_policy_towards_Russia_after_Brussels_piled_more_sanctions_on_Moscow,Russia_Russia
The_document,two_two
PJSC_Chernomorneftegaz_and_Feodosia,Crimean_Crimean
the_leaders_of_the_G7_group_of_nations,Russia
the_language_of_sanctions_more_sanctions,the_Western_partners
the_boomerang_effect,_more_sanctions
The_statement,the_heels_of_today_s
