Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
RT;hold
hold;SS
Russia;hold
hold;Navy
SS;hold
hold;Navy
UN;hold
hold;Kiev
Russia;hold
hold;Navy
SS;hold
hold;Navy
Russia;hold
hold;Navy
SS;hold
hold;Navy
