Kiev;offer
offer;Ukraine
Russia;offer
offer;Ukraine
Kiev;offer
offer;Ukraine
SS;offer
offer;Ukraine
Russia;offer
offer;China
Oettinger;offer
offer;Germany
Oettinger;offer
offer;Berlin
Oettinger;offer
offer;Germany
Oettinger;offer
offer;AP
EU;offer
offer;Germany
GE;offer
offer;Germany
SS;offer
offer;Germany
UN;offer
offer;Germany
Putin;offer
offer;Washington
Steinmeier;offer
offer;King
Steinmeier;offer
offer;Lavrov
Steinmeier;offer
offer;Lavrov
Steinmeier;offer
offer;Russia
GE;offer
offer;Lavrov
Steinmeier;offer
offer;RT
Steinmeier;offer
offer;SS
Steinmeier;offer
offer;UN
Moscow;offer
offer;Russia
Moscow;offer
offer;Russia
Moscow;offer
offer;Ukraine
Moscow;offer
offer;EU
Moscow;offer
offer;SS
