cooperation;april_#
moscow;march_#
gazprom_gazprom_is_ready_to_supply_more_gas_to_china_than_the_two_sides_are_discussing_but_the_buyer_is_not_prepared_to_purchase_extra_volumes_viktor_timoshilov_who_is_in_charge_of_the_company_s_eastern_projects_said_on_wednesday_april_23;october_#_#
