GE;say
say;Syria
Rogozin;say
say;Moscow
RT;say
say;Donetsk
UN;say
say;Donetsk
GE;say
say;China
Kerry;say
say;Ethiopia
Kerry;say
say;Ethiopia
Sudan;say
say;Ethiopia
Kerry;say
say;Uganda
GE;say
say;Ethiopia
Kerry;say
say;RT
CIA;say
say;Kiev
Lavrov;say
say;Russia
Lavrov;say
say;Russia
GE;say
say;Russia
Lavrov;say
say;SS
CIA;say
say;Russia
SS;say
say;Russia
Armenia;say
say;Russia
Martin;say
say;UN
Rogozin;say
say;Moscow
UN;say
say;Ukraine
Lavrov;say
say;Russia
Lavrov;say
say;Russia
GE;say
say;Russia
Lavrov;say
say;SS
AP;say
say;Crimea
Steinmeier;say
say;Ukraine
Steinmeier;say
say;Ukraine
GE;say
say;Ukraine
Russia;say
say;EU
SS;say
say;EU
CIA;say
say;Chemezov
