president_hassan_rouhani;last_june
the_state_council_which_acts_as_a_temporary_legislative_body_has_chosen_valery_bolotov_as_the_head_of_the_republic_council;its_state_council_which_acts_as_a_temporary_legislative_body_has_chosen_valery_bolotov_as_the_head_of_the_republic_speaker
prime;narendra_modi_prime_minister-elect_narendra_modi
